Frequency,Nominal,Min,Max
0.041,323485703.48735154,308081627.9247765,340511261.141304
0.042,315783665.18370944,300746353.48538834,332403852.26190895
0.0432,307011899.40764576,292392291.0041289,323170414.43643165
0.0445,298043015.3828948,283850496.87100387,313729483.7037273
0.0458,289583282.0638688,275793608.17190284,304824501.08231246
0.0475,279219252.6222984,265923104.17220098,293914996.1711526
0.0488,271781037.75508803,258839090.18911463,286085296.1305963
0.05,265258295.55540162,252626954.9234526,279219251.5434108
0.0515,257532329.15621147,245268891.88939208,271086655.1256582
0.053,250243681.70671508,238327323.09313512,263414394.44442546
0.055,241143915.94533727,229660879.78188848,253835693.36553693
0.0565,234741868.4582128,223563691.90217617,247096695.80259037
0.058,228670961.4469084,217781875.90419734,240706267.16155982
0.06,221048600.5547649,210522484.84936416,232682729.10291785
0.0615,215657174.65531743,205387793.71982047,227007543.73752606
0.063,210522483.4040373,200497611.77900752,221602605.37020522
0.0645,205626615.0812849,195834880.2463162,216449059.55922934
0.066,200953286.30556968,191384091.13937455,211529765.90302944
0.0675,196487661.10708913,187131114.9631326,206829107.59128714
0.0688,192774961.14780903,183595210.4161702,202921002.19065747
0.07,189470250.24395934,180447866.8608288,199442358.9675107
0.0715,185495353.27740696,176662250.90547076,195258256.689377
0.0732,181187404.91942784,172559443.17585576,190723573.9714714
0.075,176838911.26101404,168418020.887949,186146211.97607842
0.0765,173371485.01900846,165115710.38454026,182496289.40799397
0.078,170037421.39062095,161940411.8941011,178986748.53845492
0.08,165786490.36429733,157891906.42576292,174512084.0227815
0.082,161742921.93841645,154040889.14832258,170255695.9286268
0.084,157891904.49866098,150373253.76243022,166201993.0830252
0.086,154220004.2553013,146876206.182629,162336834.6546823
0.088,150715008.67221937,143538115.42213997,158647365.34242132
0.09,147365790.77206334,140348384.3596756,155121872.53850344
0.092,144162191.14072946,137297337.36275604,151749662.12281933
0.094,141094914.99510133,134376122.2569848,148520950.1131414
0.096,138155442.11732236,131576624.54916513,145426767.8590941
0.098,135335947.81752422,128891392.1537081,142458878.8450267
0.1,132629233.38102803,126313569.15187195,139609705.4765403
0.102,130028664.6982278,123836837.34403196,136872264.48036548
0.104,127528117.97564106,121455364.54591905,134240109.75809962
0.106,125121931.59287836,119163758.73811468,131707281.70933276
0.108,122804863.30883834,116957027.31004624,129268262.18553717
0.11,120572052.13631794,114830540.75009166,126917934.3580781
0.112,118418984.30148578,112780000.22603059,124651546.88608031
0.115,115329800.1656015,109837920.50314271,121399773.69530895
0.118,112397693.36327696,107045438.24078785,118313345.06617948
0.12,110524403.0013508,105261352.45282757,116341460.1972408
0.122,108712532.07039756,103535761.361032,114434227.36090519
0.125,106103438.06678975,101050910.33555003,111687812.20410928
0.128,103616645.50510673,98682536.87380585,109070135.40723431
0.13,102022547.79695404,97164348.85134397,107392137.54226784
0.132,100476756.14913166,95692166.60062519,105764988.16185965
0.135,98243946.11798519,93565681.26320134,103414661.39712858
0.138,96108214.93271984,91531651.96947372,101166522.89121981
0.14,94735244.96657589,90224061.79654376,99721291.07047325
0.142,93400950.27504852,88953305.21848673,98316770.06511265
0.145,91468523.59849566,87112899.26638983,96282636.30521725
0.148,89614438.68278077,85347104.51509087,94330967.55673029
0.15,88419584.03541152,84209147.97908898,93073225.54522046
0.155,85567350.61877526,81492735.87888113,90070873.88674803
0.16,82893382.14735729,78946099.91697606,87256169.53903194
